CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	18604	20727	47.30	39331
2	16200	18380	46.85	34580
3	15857	17375	47.72	33232
4	15685	17264	47.60	32949
5	14720	17254	46.04	31974
6	14331	16866	45.94	31197
7	14025	16148	46.48	30173
8	13758	15738	46.64	29496
9	13865	15642	46.99	29507
10	13612	15357	46.99	28969
11	13837	15558	47.07	29395
12	13843	15753	46.77	29596
13	13797	15910	46.44	29707
14	14068	15754	47.17	29822
15	14232	15771	47.44	30003
16	13965	15970	46.65	29935
17	14083	15862	47.03	29945
18	14414	15923	47.51	30337
19	14515	16108	47.40	30623
20	14291	16033	47.13	30324
21	14266	16229	46.78	30495
22	14255	16322	46.62	30577
23	14366	16245	46.93	30611
24	14323	16148	47.01	30471
25	14563	16014	47.63	30577
26	14721	16318	47.43	31039
27	14738	16210	47.62	30948
28	14480	16421	46.86	30901
29	14762	16373	47.41	31135
30	14767	16103	47.84	30870
31	14376	15948	47.41	30324
32	14329	16263	46.84	30592
33	14356	16076	47.17	30432
34	14385	16194	47.04	30579
35	14377	16028	47.28	30405
36	14459	16378	46.89	30837
37	14469	16207	47.17	30676
38	14587	16444	47.01	31031
39	14698	16475	47.15	31173
40	14360	16109	47.13	30469
41	14314	16086	47.09	30400
42	14577	16270	47.26	30847
43	14490	15929	47.63	30419
44	14362	16123	47.11	30485
45	14474	15867	47.70	30341
46	14459	16173	47.20	30632
47	14743	16331	47.44	31074
48	14557	16173	47.37	30730
49	14372	16020	47.29	30392
50	14274	16193	46.85	30467
51	14377	16000	47.33	30377
52	14395	16000	47.36	30395
53	14423	16117	47.23	30540
54	14253	15727	47.54	29980
55	14165	15862	47.17	30027
56	14287	15982	47.20	30269
57	14578	16080	47.55	30658
58	14507	16060	47.46	30567
59	14395	15934	47.46	30329
60	14419	16147	47.17	30566
61	14309	15874	47.41	30183
62	14278	15870	47.36	30148
63	14259	15725	47.56	29984
64	14207	15882	47.22	30089
65	14099	15656	47.38	29755
66	14210	15804	47.34	30014
67	14267	16092	46.99	30359
68	14168	15876	47.16	30044
69	14150	16014	46.91	30164
70	14321	15935	47.33	30256
71	14347	15824	47.55	30171
72	14221	15630	47.64	29851
73	14262	15640	47.70	29902
74	14142	15706	47.38	29848
75	14145	15439	47.81	29584
76	14003	15676	47.18	29679
77	14182	15670	47.51	29852
78	14274	15736	47.56	30010
79	14393	15800	47.67	30193
80	14369	16009	47.30	30378
81	14163	15504	47.74	29667
82	14317	15531	47.97	29848
83	14027	15595	47.35	29622
84	14231	15572	47.75	29803
85	14213	15744	47.44	29957
86	14014	15462	47.54	29476
87	14027	15697	47.19	29724
88	13939	15502	47.35	29441
89	13960	15460	47.45	29420
90	13965	15440	47.49	29405
91	14004	15537	47.41	29541
92	14170	15728	47.39	29898
93	14001	15522	47.42	29523
94	13975	15333	47.68	29308
95	14058	15345	47.81	29403
96	13820	15584	47.00	29404
97	14033	15090	48.19	29123
98	13850	15327	47.47	29177
99	13793	15288	47.43	29081
100	13500	15191	47.05	28691
101	13750	15235	47.44	28985
102	13863	15493	47.22	29356
103	13851	15492	47.20	29343
104	13730	15153	47.54	28883
105	13656	15342	47.09	28998
106	13607	15121	47.36	28728
107	13550	15009	47.45	28559
108	13506	14817	47.69	28323
109	13498	15333	46.82	28831
110	13348	15013	47.06	28361
111	13755	15285	47.37	29040
112	13493	15014	47.33	28507
113	13578	14937	47.62	28515
114	13252	14756	47.32	28008
115	13283	14459	47.88	27742
116	13001	14741	46.86	27742
117	13370	14751	47.54	28121
118	13243	14792	47.24	28035
119	13270	14796	47.28	28066
120	13015	14573	47.18	27588
121	13267	14417	47.92	27684
122	13034	14543	47.26	27577
123	12977	14405	47.39	27382
124	12832	14274	47.34	27106
125	12829	14046	47.74	26875
126	12663	14244	47.06	26907
127	12829	14080	47.68	26909
128	12765	14016	47.66	26781
129	12799	13922	47.90	26721
130	12498	13742	47.63	26240
131	12428	13985	47.05	26413
132	12414	14012	46.98	26426
133	12441	13746	47.51	26187
134	12349	13457	47.85	25806
135	12058	13731	46.76	25789
136	12162	13582	47.24	25744
137	11985	13368	47.27	25353
138	12097	13516	47.23	25613
139	12088	13240	47.73	25328
140	11890	12938	47.89	24828

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	20504	123659	14.22	144163
2	15264	146791	9.42	162055
3	6953	144750	4.58	151703
4	4736	144714	3.17	149450
5	3513	149529	2.30	153042
6	2519	148059	1.67	150578
7	2061	146203	1.39	148264
8	1853	141924	1.29	143777
9	1562	142229	1.09	143791
10	1439	142908	1.00	144347
11	1257	144087	0.86	145344
12	1321	143128	0.91	144449
13	1258	143822	0.87	145080
14	1237	143641	0.85	144878
15	1231	143975	0.85	145206
16	1261	144731	0.86	145992
17	1244	144542	0.85	145786
18	1233	144793	0.84	146026
19	1267	145855	0.86	147122
20	1217	145202	0.83	146419
21	1200	145238	0.82	146438
22	1187	145963	0.81	147150
23	1205	146767	0.81	147972
24	1257	147227	0.85	148484
25	1240	148702	0.83	149942
26	1219	147474	0.82	148693
27	1263	147356	0.85	148619
28	1283	147589	0.86	148872
29	1331	147786	0.89	149117
30	1196	146868	0.81	148064
31	1236	147583	0.83	148819
32	1262	147847	0.85	149109
33	1227	148600	0.82	149827
34	1192	147657	0.80	148849
35	1246	147746	0.84	148992
36	1250	148049	0.84	149299
37	1303	149194	0.87	150497
38	1226	148505	0.82	149731
39	1321	148284	0.88	149605
40	1269	148438	0.85	149707
41	1269	147210	0.85	148479
42	1287	147850	0.86	149137
43	1239	148038	0.83	149277
44	1213	147617	0.82	148830
45	1292	147243	0.87	148535
46	1210	148432	0.81	149642
47	1240	148419	0.83	149659
48	1260	147889	0.84	149149
49	1218	147972	0.82	149190
50	1254	147608	0.84	148862
51	1213	146951	0.82	148164
52	1184	146809	0.80	147993
53	1264	147150	0.85	148414
54	1228	147352	0.83	148580
55	1223	147667	0.82	148890
56	1280	147404	0.86	148684
57	1254	147922	0.84	149176
58	1207	147934	0.81	149141
59	1218	147057	0.82	148275
60	1214	146745	0.82	147959
61	1264	146252	0.86	147516
62	1197	146456	0.81	147653
63	1222	146192	0.83	147414
64	1167	145925	0.79	147092
65	1245	145750	0.85	146995
66	1189	145784	0.81	146973
67	1245	146294	0.84	147539
68	1263	145958	0.86	147221
69	1236	145960	0.84	147196
70	1278	146474	0.86	147752
71	1192	145627	0.81	146819
72	1189	146102	0.81	147291
73	1171	145125	0.80	146296
