CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	78658	34176	69.71	112834
2	73441	26148	73.74	99589
3	71557	22769	75.86	94326
4	70870	22578	75.84	93448
5	69075	20553	77.07	89628
6	65447	20018	76.58	85465
7	65419	18994	77.50	84413
8	64342	18042	78.10	82384
9	64651	17770	78.44	82421
10	64246	17820	78.29	82066
11	65692	17885	78.60	83577
12	65533	17542	78.88	83075
13	66387	17652	79.00	84039
14	66278	17526	79.09	83804
15	66449	17296	79.35	83745
16	67115	17297	79.51	84412
17	66582	17523	79.17	84105
18	67523	17557	79.36	85080
19	68553	17766	79.42	86319
20	67938	17627	79.40	85565
21	68323	18021	79.13	86344
22	68084	17838	79.24	85922
23	68688	17853	79.37	86541
24	68084	17624	79.44	85708
25	68727	17899	79.34	86626
26	68530	17844	79.34	86374
27	68909	17670	79.59	86579
28	68440	17704	79.45	86144
29	68372	17607	79.52	85979
30	68691	17747	79.47	86438
31	68054	17543	79.51	85597
32	68162	17785	79.31	85947
33	68783	17547	79.67	86330
34	68569	17700	79.48	86269
35	68379	17358	79.75	85737
36	68574	17473	79.69	86047
37	69136	17572	79.73	86708
38	69477	17594	79.79	87071
39	68870	17783	79.48	86653
40	68938	17602	79.66	86540
41	68600	17668	79.52	86268
42	68804	17702	79.54	86506
43	68915	17500	79.75	86415
44	68260	17322	79.76	85582
45	68393	17484	79.64	85877
46	68363	17437	79.68	85800
47	69031	17665	79.62	86696
48	68433	17363	79.76	85796
49	68731	17487	79.72	86218
50	68667	17498	79.69	86165
51	68251	17363	79.72	85614
52	68336	17395	79.71	85731
53	68012	17406	79.62	85418
54	67935	17391	79.62	85326
55	68113	17134	79.90	85247
56	68717	17079	80.09	85796
57	68175	17209	79.85	85384
58	68571	17242	79.91	85813
59	68488	17217	79.91	85705
60	68224	17102	79.96	85326
61	68243	17231	79.84	85474
62	67577	17100	79.81	84677
63	67736	17123	79.82	84859
64	68066	17128	79.90	85194
65	67912	17223	79.77	85135
66	67684	17069	79.86	84753
67	67927	16974	80.01	84901
68	67161	16828	79.96	83989
69	67639	16979	79.93	84618
70	67826	16727	80.22	84553
71	66985	16921	79.83	83906
72	67112	16746	80.03	83858
73	66933	16972	79.77	83905
74	67523	16810	80.07	84333
75	67807	16821	80.12	84628
76	67052	16686	80.07	83738
77	66996	16910	79.85	83906
78	66895	16824	79.90	83719
79	67416	16839	80.01	84255
80	67234	16850	79.96	84084
81	66694	16662	80.01	83356
82	66458	16567	80.05	83025
83	66569	16631	80.01	83200
84	66508	16690	79.94	83198
85	66400	16779	79.83	83179
86	66465	16651	79.97	83116
87	66011	16506	80.00	82517
88	66131	16476	80.05	82607
89	65741	16225	80.21	81966
90	65631	16469	79.94	82100
91	65794	16477	79.97	82271
92	65475	16404	79.97	81879
93	65680	16515	79.91	82195
94	65458	16338	80.03	81796
95	65511	16296	80.08	81807
96	65025	16321	79.94	81346
97	65431	16068	80.28	81499
98	64701	16131	80.04	80832
99	64548	15743	80.39	80291
100	64939	16162	80.07	81101
101	64541	16180	79.96	80721
102	64462	16094	80.02	80556
103	63820	15957	80.00	79777
104	63563	16131	79.76	79694
105	64312	15739	80.34	80051
106	62766	15517	80.18	78283
107	62907	15680	80.05	78587
108	63091	15675	80.10	78766
109	62786	15602	80.10	78388
110	62525	15328	80.31	77853
111	62529	15381	80.26	77910
112	61826	15436	80.02	77262
113	61355	15403	79.93	76758
114	61067	15073	80.20	76140
115	60908	14948	80.29	75856
116	60921	14859	80.39	75780
117	60874	15163	80.06	76037
118	60144	14899	80.15	75043
119	59938	14905	80.08	74843
120	58998	14736	80.01	73734
121	59439	14494	80.40	73933
122	58938	14674	80.07	73612
123	58476	14424	80.21	72900
124	57912	14275	80.22	72187
125	57194	14159	80.16	71353
126	57110	14114	80.18	71224
127	57064	14150	80.13	71214
128	56588	13970	80.20	70558
129	56138	13880	80.18	70018
130	55229	13912	79.88	69141
131	55516	13802	80.09	69318
132	54410	13591	80.01	68001
133	54130	13538	79.99	67668
134	53527	13335	80.06	66862
135	53208	13473	79.79	66681
136	52714	13246	79.92	65960
137	52317	12955	80.15	65272
138	51829	12806	80.19	64635
139	50789	12830	79.83	63619
140	49758	12768	79.58	62526

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	74721	369400	16.82	444121
2	58541	414112	12.39	472653
3	28777	410536	6.55	439313
4	21197	415377	4.86	436574
5	17267	425454	3.90	442721
6	13071	427389	2.97	440460
7	11107	419367	2.58	430474
8	9809	412338	2.32	422147
9	8881	415079	2.09	423960
10	8558	417929	2.01	426487
11	8046	418604	1.89	426650
12	7730	417854	1.82	425584
13	7424	418689	1.74	426113
14	7484	418947	1.76	426431
15	7509	418719	1.76	426228
16	7441	420283	1.74	427724
17	7632	418823	1.79	426455
18	7570	420797	1.77	428367
19	7623	422906	1.77	430529
20	7494	422810	1.74	430304
21	7401	423707	1.72	431108
22	7415	424131	1.72	431546
23	7501	426207	1.73	433708
24	7413	428096	1.70	435509
25	7624	427219	1.75	434843
26	7519	427305	1.73	434824
27	7894	428853	1.81	436747
28	7747	429493	1.77	437240
29	7950	429976	1.82	437926
30	7535	426656	1.74	434191
31	7677	428739	1.76	436416
32	7683	428791	1.76	436474
33	7732	430575	1.76	438307
34	7563	429573	1.73	437136
35	7752	430026	1.77	437778
36	7794	429108	1.78	436902
37	7895	430629	1.80	438524
38	7715	428975	1.77	436690
39	7846	427821	1.80	435667
40	7849	428281	1.80	436130
41	8050	427624	1.85	435674
42	7823	429086	1.79	436909
43	7578	429343	1.73	436921
44	7619	428341	1.75	435960
45	7745	428231	1.78	435976
46	7744	429241	1.77	436985
47	7801	428499	1.79	436300
48	7745	428135	1.78	435880
49	7836	428402	1.80	436238
50	7716	428610	1.77	436326
51	7526	426716	1.73	434242
52	7501	426496	1.73	433997
53	7768	425616	1.79	433384
54	7610	428029	1.75	435639
55	7626	426381	1.76	434007
56	7837	425952	1.81	433789
57	7741	426593	1.78	434334
58	7499	426833	1.73	434332
59	7812	426014	1.80	433826
60	7766	423789	1.80	431555
61	7611	422472	1.77	430083
62	7495	422984	1.74	430479
63	7623	422095	1.77	429718
64	7581	420914	1.77	428495
65	7742	420535	1.81	428277
66	7601	422136	1.77	429737
67	7599	420749	1.77	428348
68	7653	422407	1.78	430060
69	7818	420045	1.83	427863
70	7869	420545	1.84	428414
71	7491	418420	1.76	425911
72	7540	421087	1.76	428627
73	7614	418879	1.79	426493
74	7649	417566	1.80	425215
75	7468	415739	1.76	423207
76	7535	416828	1.78	424363
77	7478	417826	1.76	425304
78	7498	418389	1.76	425887
79	7528	417315	1.77	424843
80	7269	416734	1.71	424003
81	7560	416024	1.78	423584
82	7521	415359	1.78	422880
83	7475	417204	1.76	424679
84	7341	415151	1.74	422492
85	7383	414120	1.75	421503
86	7445	414705	1.76	422150
87	7355	412210	1.75	419565
88	7479	411190	1.79	418669
89	7557	410577	1.81	418134
90	7361	411125	1.76	418486
91	7408	409075	1.78	416483
92	7495	410125	1.79	417620
93	7469	411054	1.78	418523
94	7175	408498	1.73	415673
95	7420	406032	1.79	413452
96	7263	404449	1.76	411712
97	7367	402769	1.80	410136
98	7427	402019	1.81	409446
99	7299	403002	1.78	410301
100	7173	402428	1.75	409601
101	7223	401937	1.77	409160
102	7266	399965	1.78	407231
103	7251	397106	1.79	404357
104	7219	395312	1.79	402531
105	7045	393585	1.76	400630
106	7149	393755	1.78	400904
107	7301	391220	1.83	398521
108	6902	391150	1.73	398052
109	7398	389300	1.86	396698
110	6972	388794	1.76	395766
111	6984	389434	1.76	396418
112	7138	385688	1.82	392826
113	6910	382969	1.77	389879
114	6824	380152	1.76	386976
115	6875	378733	1.78	385608
116	6877	377029	1.79	383906
117	6945	373676	1.82	380621
118	6976	372812	1.84	379788
119	6957	370219	1.84	377176
120	6877	368257	1.83	375134
121	6636	366071	1.78	372707
122	6578	363847	1.78	370425
123	6571	360677	1.79	367248
124	6700	358559	1.83	365259
125	6576	357276	1.81	363852
126	6501	353223	1.81	359724
127	6478	351812	1.81	358290
128	6320	348712	1.78	355032
129	6379	346153	1.81	352532
130	6210	342056	1.78	348266
131	6438	340358	1.86	346796
132	6157	338442	1.79	344599
133	6192	334257	1.82	340449
134	6277	330892	1.86	337169
135	6225	327811	1.86	334036
136	6456	325332	1.95	331788
137	6643	321469	2.02	328112
138	6874	316639	2.12	323513
139	8273	312686	2.58	320959
140	8327	295981	2.74	304308

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	225605	1236769	15.43	1462374
2	181891	1225063	12.93	1406954
3	150067	1325366	10.17	1475433
4	113267	1402229	7.47	1515496
5	79563	1449017	5.21	1528580
6	59605	1509259	3.80	1568864
7	46212	1537926	2.92	1584138
8	36731	1532000	2.34	1568731
9	29763	1544407	1.89	1574170
10	25370	1538623	1.62	1563993
11	21400	1541591	1.37	1562991
12	18944	1537198	1.22	1556142
13	18186	1546325	1.16	1564511
14	17118	1537388	1.10	1554506
15	16406	1537264	1.06	1553670
16	16326	1531618	1.05	1547944
17	16515	1529647	1.07	1546162
18	15701	1533085	1.01	1548786
19	16029	1534965	1.03	1550994
20	15638	1529502	1.01	1545140
21	15655	1532490	1.01	1548145
22	15287	1532490	0.99	1547777
23	15547	1530001	1.01	1545548
24	15764	1532517	1.02	1548281
25	16314	1529357	1.06	1545671
26	15649	1527436	1.01	1543085
27	15974	1526335	1.04	1542309
28	15693	1526516	1.02	1542209
29	16344	1526508	1.06	1542852
30	15360	1526095	1.00	1541455
31	15440	1528813	1.00	1544253
32	15738	1528096	1.02	1543834
33	15664	1530548	1.01	1546212
34	15937	1530339	1.03	1546276
35	15457	1532655	1.00	1548112
36	16112	1527710	1.04	1543822
37	16130	1528072	1.04	1544202
38	15454	1526821	1.00	1542275
39	16249	1526923	1.05	1543172
40	15823	1524024	1.03	1539847
41	16458	1524166	1.07	1540624
42	15582	1525158	1.01	1540740
43	15323	1528756	0.99	1544079
44	15383	1522315	1.00	1537698
45	15718	1523668	1.02	1539386
46	15714	1519369	1.02	1535083
47	16051	1515845	1.05	1531896
48	15401	1515724	1.01	1531125
49	15640	1515578	1.02	1531218
50	15349	1509416	1.01	1524765
51	15604	1508920	1.02	1524524
52	15347	1509450	1.01	1524797
53	15782	1510510	1.03	1526292
54	15440	1509861	1.01	1525301
55	15294	1510141	1.00	1525435
56	15775	1505936	1.04	1521711
57	15575	1505960	1.02	1521535
58	15211	1511441	1.00	1526652
59	15887	1504318	1.05	1520205
60	15828	1505532	1.04	1521360
61	15567	1506480	1.02	1522047
62	15123	1509809	0.99	1524932
63	15573	1506308	1.02	1521881
64	15233	1507905	1.00	1523138
65	15645	1502504	1.03	1518149
66	15242	1500427	1.01	1515669
67	15367	1495558	1.02	1510925
68	14911	1497756	0.99	1512667
69	15998	1493552	1.06	1509550
70	16077	1488327	1.07	1504404
71	15223	1486004	1.01	1501227
72	15180	1482810	1.01	1497990
73	15934	1480500	1.06	1496434
74	15518	1480143	1.04	1495661
75	15019	1477805	1.01	1492824
76	15316	1477831	1.03	1493147
77	15429	1478029	1.03	1493458
78	15606	1478317	1.04	1493923
79	15002	1472513	1.01	1487515
80	15066	1470367	1.01	1485433
81	15027	1471734	1.01	1486761
82	14600	1468849	0.98	1483449
83	14890	1465412	1.01	1480302
84	14838	1464643	1.00	1479481
85	14846	1460645	1.01	1475491
86	14876	1459251	1.01	1474127
87	14869	1455837	1.01	1470706
88	15084	1457712	1.02	1472796
89	15172	1453860	1.03	1469032
90	14643	1454269	1.00	1468912
91	14801	1452012	1.01	1466813
92	15107	1449948	1.03	1465055
93	14983	1445779	1.03	1460762
94	14746	1441815	1.01	1456561
95	14987	1439542	1.03	1454529
96	14671	1434921	1.01	1449592
97	14636	1431851	1.01	1446487
98	14516	1423690	1.01	1438206
99	14852	1418809	1.04	1433661
100	14411	1417754	1.01	1432165
101	14582	1409785	1.02	1424367
102	14749	1407316	1.04	1422065
103	15057	1404158	1.06	1419215
104	14761	1400450	1.04	1415211
105	14438	1399085	1.02	1413523
106	14109	1394899	1.00	1409008
107	15243	1381475	1.09	1396718
108	14114	1378981	1.01	1393095
109	14388	1374404	1.04	1388792
110	14540	1368874	1.05	1383414
111	13672	1362833	0.99	1376505
112	14631	1358108	1.07	1372739
113	13797	1349146	1.01	1362943
114	13796	1343044	1.02	1356840
115	14337	1336655	1.06	1350992
116	13771	1330452	1.02	1344223
117	14010	1320079	1.05	1334089
118	13813	1314442	1.04	1328255
119	13525	1306835	1.02	1320360
120	14129	1303185	1.07	1317314
121	13276	1296136	1.01	1309412
122	13467	1288720	1.03	1302187
123	13004	1280110	1.01	1293114
124	13083	1271197	1.02	1284280
125	13206	1261495	1.04	1274701
126	13012	1252215	1.03	1265227
127	13638	1237869	1.09	1251507
128	12544	1230182	1.01	1242726
129	12704	1216491	1.03	1229195
130	12764	1208880	1.04	1221644
131	13405	1198997	1.11	1212402
132	12539	1189061	1.04	1201600
133	12900	1176077	1.08	1188977
134	13421	1162303	1.14	1175724
135	13726	1153331	1.18	1167057
136	14616	1143626	1.26	1158242
137	16232	1129484	1.42	1145716
138	18386	1118076	1.62	1136462
139	19166	1103438	1.71	1122604
140	19054	1056039	1.77	1075093

