CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	19664	43534	31.11	63198
2	16028	40364	28.42	56392
3	14926	38304	28.04	53230
4	14882	38560	27.85	53442
5	13751	38313	26.41	52064
6	12691	37534	25.27	50225
7	12610	36233	25.82	48843
8	12473	35504	26.00	47977
9	12188	35630	25.49	47818
10	12175	35790	25.38	47965
11	12296	35839	25.54	48135
12	12294	35719	25.61	48013
13	12302	36164	25.38	48466
14	12535	36013	25.82	48548
15	12720	36258	25.97	48978
16	12585	36343	25.72	48928
17	12673	36394	25.83	49067
18	12914	36777	25.99	49691
19	12835	37235	25.63	50070
20	12757	37140	25.57	49897
21	12974	37711	25.60	50685
22	12958	36928	25.98	49886
23	12990	37205	25.88	50195
24	12695	36780	25.66	49475
25	13024	37380	25.84	50404
26	13076	37486	25.86	50562
27	12889	37218	25.72	50107
28	13024	37463	25.80	50487
29	12845	37585	25.47	50430
30	12714	37052	25.55	49766
31	12854	36985	25.79	49839
32	12785	37255	25.55	50040
33	12851	37158	25.70	50009
34	12597	37012	25.39	49609
35	12713	37379	25.38	50092
36	12828	37229	25.63	50057
37	13119	37145	26.10	50264
38	12812	37432	25.50	50244
39	12991	37459	25.75	50450
40	12850	37094	25.73	49944
41	12982	37057	25.94	50039
42	13133	36985	26.20	50118
43	12845	37201	25.67	50046
44	12877	37065	25.78	49942
45	12767	37048	25.63	49815
46	12918	36890	25.94	49808
47	12995	37616	25.68	50611
48	12776	37432	25.45	50208
49	12698	37234	25.43	49932
50	12636	36733	25.60	49369
51	12883	36864	25.90	49747
52	12726	37225	25.48	49951
53	12735	36808	25.70	49543
54	12754	36720	25.78	49474
55	12479	36790	25.33	49269
56	12884	36742	25.96	49626
57	12831	37117	25.69	49948
58	12710	37208	25.46	49918
59	12861	36739	25.93	49600
60	12695	37132	25.48	49827
61	12914	36840	25.96	49754
62	12525	36341	25.63	48866
63	12859	36618	25.99	49477
64	12526	36281	25.66	48807
65	12391	36452	25.37	48843
66	12609	36155	25.86	48764
67	12694	36539	25.78	49233
68	12883	36735	25.96	49618
69	12492	36770	25.36	49262
70	12673	36737	25.65	49410
71	12610	36655	25.60	49265
72	12442	36031	25.67	48473
73	12363	36199	25.46	48562
74	12502	36287	25.62	48789
75	12508	36013	25.78	48521
76	12499	36107	25.71	48606
77	12558	36236	25.74	48794
78	12610	36176	25.85	48786
79	12560	36451	25.63	49011
80	12541	36075	25.80	48616
81	12565	36278	25.73	48843
82	12407	36107	25.57	48514
83	12362	36127	25.49	48489
84	12479	36161	25.66	48640
85	12465	35786	25.83	48251
86	12373	35870	25.65	48243
87	12484	35818	25.85	48302
88	12486	35729	25.90	48215
89	12297	35560	25.70	47857
90	12293	35719	25.60	48012
91	12303	35875	25.54	48178
92	12279	36126	25.37	48405
93	12172	35891	25.33	48063
94	12187	35345	25.64	47532
95	12368	35352	25.92	47720
96	12213	35429	25.63	47642
97	12264	35020	25.94	47284
98	12157	35163	25.69	47320
99	11931	34803	25.53	46734
100	12078	34841	25.74	46919
101	11915	35358	25.20	47273
102	11878	35224	25.22	47102
103	12167	35194	25.69	47361
104	11853	34894	25.36	46747
105	11990	34609	25.73	46599
106	11697	34364	25.39	46061
107	11980	34442	25.81	46422
108	12070	34419	25.96	46489
109	11816	34292	25.63	46108
110	11988	34196	25.96	46184
111	11861	34359	25.66	46220
112	11540	34074	25.30	45614
113	11550	33759	25.49	45309
114	11338	33397	25.34	44735
115	11506	33394	25.63	44900
116	11377	33063	25.60	44440
117	11574	33759	25.53	45333
118	11559	33290	25.77	44849
119	11567	33177	25.85	44744
120	11321	33152	25.46	44473
121	11146	32602	25.48	43748
122	11292	32599	25.73	43891
123	11299	32450	25.83	43749
124	11069	32174	25.60	43243
125	11168	31974	25.89	43142
126	10872	32078	25.31	42950
127	11115	31950	25.81	43065
128	10778	31678	25.39	42456
129	10543	31652	24.99	42195
130	10527	30883	25.42	41410
131	10586	30753	25.61	41339
132	10562	30895	25.48	41457
133	10430	30719	25.35	41149
134	10493	30137	25.83	40630
135	10364	29683	25.88	40047
136	10293	29480	25.88	39773
137	10146	29351	25.69	39497
138	10227	29295	25.88	39522
139	9974	28942	25.63	38916
140	10158	27841	26.73	37999

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	33177	206733	13.83	239910
2	23928	241979	9.00	265907
3	10644	241042	4.23	251686
4	7002	241619	2.82	248621
5	4897	249277	1.93	254174
6	3175	247827	1.26	251002
7	2557	241505	1.05	244062
8	2001	237091	0.84	239092
9	1663	237803	0.69	239466
10	1345	237847	0.56	239192
11	1226	238723	0.51	239949
12	1097	238170	0.46	239267
13	1121	238856	0.47	239977
14	1087	239193	0.45	240280
15	965	240411	0.40	241376
16	1045	239088	0.44	240133
17	1088	239937	0.45	241025
18	1075	241727	0.44	242802
19	1038	242556	0.43	243594
20	1054	240811	0.44	241865
21	973	242078	0.40	243051
22	1042	241902	0.43	242944
23	1007	243346	0.41	244353
24	1113	244647	0.45	245760
25	1089	244647	0.44	245736
26	1033	243931	0.42	244964
27	1066	245242	0.43	246308
28	1078	245362	0.44	246440
29	1173	244278	0.48	245451
30	1054	243305	0.43	244359
31	1080	245295	0.44	246375
32	1100	245738	0.45	246838
33	1046	245495	0.42	246541
34	1062	244966	0.43	246028
35	1025	245822	0.42	246847
36	1235	245750	0.50	246985
37	1222	246945	0.49	248167
38	1052	245542	0.43	246594
39	1120	245633	0.45	246753
40	1106	244882	0.45	245988
41	1086	244840	0.44	245926
42	1058	246097	0.43	247155
43	1035	245791	0.42	246826
44	1101	245231	0.45	246332
45	1048	244888	0.43	245936
46	1100	245492	0.45	246592
47	1109	245494	0.45	246603
48	1015	244753	0.41	245768
49	1132	245730	0.46	246862
50	1027	244232	0.42	245259
51	1121	243849	0.46	244970
52	1034	244570	0.42	245604
53	1118	243449	0.46	244567
54	1050	243219	0.43	244269
55	992	244418	0.40	245410
56	1139	244004	0.46	245143
57	1125	243243	0.46	244368
58	1058	244066	0.43	245124
59	1078	243994	0.44	245072
60	1142	242855	0.47	243997
61	1068	241822	0.44	242890
62	1098	242673	0.45	243771
63	1105	241192	0.46	242297
64	1086	241354	0.45	242440
65	1154	241401	0.48	242555
66	1034	241574	0.43	242608
67	1107	241235	0.46	242342
68	992	242457	0.41	243449
69	1077	241953	0.44	243030
70	1103	242219	0.45	243322
71	1037	240964	0.43	242001
72	1073	241559	0.44	242632
73	1127	240805	0.47	241932
74	1066	239670	0.44	240736
75	940	239066	0.39	240006
76	1053	239933	0.44	240986
77	1096	240294	0.45	241390
78	1050	240319	0.44	241369
79	1021	240139	0.42	241160
80	1030	240202	0.43	241232
81	1080	238220	0.45	239300
82	1026	239238	0.43	240264
83	1050	240263	0.44	241313
84	1019	238677	0.43	239696
85	967	237998	0.40	238965
86	1042	239762	0.43	240804
87	1047	238490	0.44	239537
88	1037	237731	0.43	238768
89	1051	236974	0.44	238025
90	1010	237701	0.42	238711
91	1031	236398	0.43	237429
92	1157	236792	0.49	237949
93	1001	237162	0.42	238163
94	1109	236813	0.47	237922
95	1130	234599	0.48	235729
96	1029	233944	0.44	234973
97	982	233951	0.42	234933
98	1029	233612	0.44	234641
99	966	233379	0.41	234345
100	1014	233325	0.43	234339
101	1039	233163	0.44	234202
102	1058	233308	0.45	234366
103	1077	230232	0.47	231309
104	1094	230235	0.47	231329
105	1011	228600	0.44	229611
106	998	228611	0.43	229609
107	1067	229468	0.46	230535
108	1060	228524	0.46	229584
109	982	228875	0.43	229857
110	1012	227419	0.44	228431
111	991	227561	0.43	228552
112	1084	226227	0.48	227311
113	975	224876	0.43	225851
114	1013	222570	0.45	223583
115	1022	222197	0.46	223219
116	992	221868	0.45	222860
117	1019	219342	0.46	220361
118	986	219934	0.45	220920
119	913	218887	0.42	219800
120	1067	218299	0.49	219366
121	891	216765	0.41	217656
122	984	215760	0.45	216744
123	884	213257	0.41	214141
124	886	213398	0.41	214284
125	932	212451	0.44	213383
126	963	211068	0.45	212031
127	1038	210254	0.49	211292
128	926	208451	0.44	209377
129	839	206902	0.40	207741
130	964	204855	0.47	205819
131	952	204672	0.46	205624
132	880	202229	0.43	203109
133	935	201786	0.46	202721
134	1047	198717	0.52	199764
135	1018	197095	0.51	198113
136	1196	196617	0.60	197813
137	1304	193746	0.67	195050
138	1712	191928	0.88	193640
139	3017	189048	1.57	192065
140	2738	181015	1.49	183753

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	105052	693832	13.15	798884
2	80680	689493	10.48	770173
3	62725	746431	7.75	809156
4	45265	793512	5.40	838777
5	29349	823494	3.44	852843
6	21028	856728	2.40	877756
7	15362	872681	1.73	888043
8	11667	869497	1.32	881164
9	8959	876263	1.01	885222
10	7259	873098	0.82	880357
11	6025	875339	0.68	881364
12	5197	872429	0.59	877626
13	4735	879125	0.54	883860
14	4379	872129	0.50	876508
15	4248	871679	0.48	875927
16	4137	868334	0.47	872471
17	4112	867374	0.47	871486
18	3882	865955	0.45	869837
19	3931	866346	0.45	870277
20	3826	865489	0.44	869315
21	3867	867310	0.44	871177
22	3643	867877	0.42	871520
23	3773	867162	0.43	870935
24	3643	868317	0.42	871960
25	3755	866345	0.43	870100
26	3653	863921	0.42	867574
27	3771	861517	0.44	865288
28	3794	861566	0.44	865360
29	3901	861467	0.45	865368
30	3646	861028	0.42	864674
31	3787	863742	0.44	867529
32	3743	864763	0.43	868506
33	3855	867301	0.44	871156
34	3764	867040	0.43	870804
